Issue_ID,Category,Severity,Page_URL,Issue_Title,Issue_Detail,SEO_Impact,Current_Value,Recommended_Fix,Priority_Order,Estimated_Effort
S003,Schema/JSON-LD,High,https://f9xr.github.io/index.html,Reviews missing datePublished,All 6 Review items lacked datePublished and dateReviewed,Google requires dates for review rich snippet eligibility,No dates on reviews,Added datePublished and dateReviewed to all 6 reviews,25,10 min (FIXED)
S004,Schema/JSON-LD,High,https://f9xr.github.io/index.html,Stray character in WebSite description,WebSite description contained ""?"" instead of proper punctuation,"Corrupted text visible in knowledge panel and rich results","description: ""AI Web Design & Local SEO Agency ? Architects""",Fixed to use proper dash separator,26,2 min (FIXED)
S005,Schema/JSON-LD,High,https://f9xr.github.io/index.html,SearchAction points to services.html,WebSite SearchAction targeted /pages/services.html instead of a search endpoint,Misleads Google about site search functionality,urlTemplate: /pages/services.html?q={search_term_string},Changed to /pages/sitemap.html,27,2 min (FIXED)
S006,Schema/JSON-LD,Medium,https://f9xr.github.io/index.html,HowTo missing totalTime,HowTo schema had no totalTime property,Less eligible for HowTo rich results,No totalTime,"Added ""totalTime"": ""P4W""",28,2 min (FIXED)
S007,Schema/JSON-LD,Medium,https://f9xr.github.io/index.html,FAQPage missing dateModified,FAQPage schema had no dateModified,Reduced freshness signals for FAQ rich results,No dateModified,Added datePublished and dateModified,29,2 min (FIXED)
S008,Schema/JSON-LD,Medium,services/*.html (10 files),Duplicate BreadcrumbList in 10 files,10 service pages each had 2 BreadcrumbList schemas,Conflicting breadcrumb data for Google,2 BreadcrumbLists per page,Removed duplicate BreadcrumbList from all 10 files,30,20 min (FIXED)
S009,Schema/JSON-LD,Medium,tools/hashtag-generator.html and tools/website-cost.html,Inconsistent priceCurrency (INR vs USD),2 tool pages used INR while 6 used USD,Inconsistent currency signals across tools directory,2 files with INR,Changed both to USD for consistency,31,5 min (FIXED)
S010,Schema/JSON-LD,Medium,tools/hashtag-generator.html,Stray character in schema description,Description contained ""?"" instead of proper punctuation,Corrupted text in rich results,"description: ""...Generator ? browse...""",Fixed to use proper dash,32,2 min (FIXED)
F001,Trust/Authenticity,High,.well-known/oauth-authorization-server,Fabricated OAuth server metadata,Fictional OAuth 2.0 authorization server claiming static GitHub Pages site is an auth provider,Severe trust violation - crawlers may flag site for deceptive metadata,Full OAuth server metadata file,Deleted file entirely,33,2 min (FIXED)
F002,Trust/Authenticity,High,.well-known/openid-configuration,Fabricated OpenID Connect metadata,Fictional OIDC provider metadata for a static site,Deceptive metadata misrepresenting site capabilities,Full OIDC configuration file,Deleted file entirely,34,2 min (FIXED)
F003,Trust/Authenticity,High,.well-known/oauth-protected-resource,Fabricated OAuth resource metadata,Fictional protected resource metadata,Deceptive metadata,Full OAuth resource file,Deleted file entirely,35,2 min (FIXED)
F004,Trust/Authenticity,High,.well-known/agent-skills/index.json,Fabricated agent-skills with fake SHA256 hashes,SHA256 values follow obvious sequential hex pattern (a1b2c3d4...),Fake integrity hashes undermine trust if inspected,9 skills with patterned fake hashes,Deleted file entirely,36,2 min (FIXED)
F005,Trust/Authenticity,High,.well-known/mcp/server-card.json,Fabricated MCP server card,Fictional Model Context Protocol server with no actual backend,Deceptive API metadata for a static site,MCP server card with 4 fictional tools,Deleted file entirely,37,2 min (FIXED)
F006,Trust/Authenticity,High,auth.md,Fabricated agent authentication documentation,Elaborate OAuth docs for system that cannot exist on GitHub Pages,Mixes real contact info with fictional auth infrastructure,Full authentication documentation page,Deleted file entirely,38,2 min (FIXED)
F007,Trust/Authenticity,High,.well-known/jwks.json,Fabricated JWKS with empty keys,JSON Web Key Set file with empty keys array from fabricated OAuth setup,Empty credential store is suspicious,No keys in array,Deleted file entirely,39,2 min (FIXED)
F008,Trust/Authenticity,High,index.html,Link tags referencing fabricated files,6 <link> tags in head pointing to deleted fabricated files,Broken link references in HTML head,6 link tags for auth/agent-skills/mcp,Removed all 6 fabricated link tags,40,5 min (FIXED)
F009,Trust/Authenticity,Medium,ai.txt,Non-existent paths and non-standard directives,ai.txt referenced /summarize and /private-data/ which don't exist,Broken paths harm credibility with AI crawlers,"Allow: /summarize, Disallow: /private-data/",Rewrote with valid paths and honest description,41,5 min (FIXED)
F010,Trust/Authenticity,Low,.well-known/api-catalog,Misleading API catalog claims,Static HTML pages described as API service-desc endpoints,Minor misrepresentation but valid RFC 9727 format,Links to llms.txt as ""service-desc"",Acceptable - format is valid even if stretched,42,N/A
L001,Internal Linking,Medium,llms.txt,Missing freelancer.html link,llms.txt navigation missing link to /legals/freelancer.html,Incomplete site navigation for AI crawlers,No link to freelancer.html,Added freelancer.html to navigation,43,2 min (FIXED)
CA001,Competitor Analysis,Info,N/A,Lifted Websites (liftedwebsites.com),Scottsdale-based AI SEO and web design agency. Services: Local SEO, AI optimization, GBP management, web design. Industries: Home services, professional services, eCommerce, hospitality. Uses ""AI SEO & Web Design"" positioning similar to F9XR.,Similar service mix and AI-forward positioning. Strong local SEO focus with blog content strategy.,N/A,N/A,44,N/A
CA002,Competitor Analysis,Info,N/A,TheeDigital (theedigital.com),Raleigh-based web design and digital marketing agency since 2004. 1000+ companies served. Services: WordPress development, SEO, AI search optimization. Award-winning. Clutch-rated. BBB accredited. Blog content about AI overviews.,More established (20+ years), larger scale, stronger trust signals (BBB, Clutch). Content marketing is a major differentiator.,N/A,N/A,45,N/A
CA003,Competitor Analysis,Info,N/A,eSEOspace (eseospace.com),Specializes in local SEO with proprietary GEO methodology. Claims 1,284 websites managed. AI Search Visibility Score offering. Top local SEO agency rankings. Focus on dual-channel (Maps + AI search).,Proprietary methodology and AI visibility scoring are unique differentiators. Strong content/authority signals.,N/A,N/A,46,N/A
CA004,Competitor Analysis,Info,N/A,DemandConvert (demandconvert.com),AI Search Optimization and Local SEO for blue-collar contractors. Services: Web design, SEO, local SEO, social media, content marketing. Proprietary AI software suite. Free trial dashboard.,Similar target market (small businesses). Proprietary AI tools create stickiness. Strong CTA-focused landing pages.,N/A,N/A,47,N/A
R001,Schema/JSON-LD,Medium,https://f9xr.github.io/index.html,Organization foundingDate format,Founding date uses year-only ""2024"" instead of ISO 8601,Partial compliance with schema.org best practices,"foundingDate: ""2024""","Changed to ""2024-01-01""",48,2 min (FIXED)
R002,Schema/JSON-LD,Low,https://f9xr.github.io/index.html,ProfilePage missing @id for mainEntity Person,Person object in ProfilePage has no @id for cross-referencing,Minor - limits schema graph connectivity,No @id on Person,"Added @id and worksFor reference to Organization",49,2 min (FIXED)
R003,On-Page SEO,Low,pages/thanks.html,Short meta description (68 chars),Thank you page has very thin meta description,Low impact - throwaway confirmation page,"68 chars: ""Thank you for contacting F9XR Team...""",Acceptable for confirmation page,50,N/A
R004,Technical SEO,Low,https://f9xr.github.io/llms.txt,Missing llms-full.txt link,llms.txt may reference llms-full.txt which should be verified,Ensure AI agent documentation is complete,Check llms-full.txt exists,Verify and fix if needed,51,5 min
